,Слово,"Частота встречи,раз",Частота встречи в %
6512,головку,2,0.0
6513,заливаясь,1,0.0
6514,звонким,4,0.0
6515,улыбкою,9,0.0
6516,смотрело,3,0.0
6517,старичка,10,0.0
6518,сановитою,1,0.0
6519,бывшею,2,0.0
6520,округлял,1,0.0
6521,такт,17,0.0
6522,потряхивая,3,0.0
6523,ими,29,0.01
6524,расправлял,4,0.0
6525,вывертывал,1,0.0
6526,притопывая,2,0.0
6527,распускавшеюся,1,0.0
6528,круглом,1,0.0
6529,приготовлял,2,0.0
6530,зрителей,4,0.0
6531,веселые,18,0.0
6532,вызывающие,2,0.0
6533,данилы,11,0.0
6534,похожие,3,0.0
6535,развеселого,1,0.0
6536,трепачка,1,0.0
6537,заставились,1,0.0
6538,мужскими,1,0.0
6539,женскими,2,0.0
6540,улыбающимися,2,0.0
6541,дворовых,16,0.0
6542,вышедших,3,0.0
6543,посмотреть,31,0.01
6544,веселящегося,1,0.0
6545,барина,30,0.01
6546,орел,5,0.0
6547,няня,23,0.0
6548,умела,10,0.0
6549,стояло,21,0.0
6550,мощными,1,0.0
6551,передала,7,0.0
6552,танцовало,1,0.0
6553,круглой,3,0.0
6554,лишь,8,0.0
6555,улыбающемся,1,0.0
6556,вздергивающемся,1,0.0
6557,носе,1,0.0
6558,зато,5,0.0
6559,расходясь,1,0.0
6560,пленял,1,0.0
6561,неожиданностью,1,0.0
6562,ловких,2,0.0
6563,выверток,2,0.0
6564,легких,5,0.0
6565,прыжков,2,0.0
6566,мягких,4,0.0
6567,малейшим,2,0.0
6568,усердием,3,0.0
6569,движении,25,0.0
6570,округлении,1,0.0
6571,поворотах,1,0.0
6572,притопываньях,1,0.0
6573,производила,4,0.0
6574,меньшее,5,0.0
6575,заслуге,2,0.0
6576,ценил,3,0.0
6577,всякий,77,0.01
6578,тучности,1,0.0
6579,всегдашней,1,0.0
6580,суровости,2,0.0
6581,пляска,1,0.0
6582,оживлялась,3,0.0
6583,визави,1,0.0
6584,занято,5,0.0
6585,марьею,2,0.0
6586,дергала,2,0.0
6587,присутствовавших,4,0.0
6588,спускали,2,0.0
6589,танцующих,3,0.0
6590,требовала,12,0.0
6591,папеньку,1,0.0
6592,промежутках,4,0.0
6593,танца,3,0.0
6594,дух,25,0.0
6595,лише,3,0.0
6596,развертывался,1,0.0
6597,цыпочках,26,0.0
6598,каблуках,4,0.0
6599,носясь,1,0.0
6600,мягкую,2,0.0
6601,ногу,58,0.01
6602,склонив,6,0.0
6603,вспотевшую,1,0.0
6604,улыбающимся,6,0.0
6605,округло,1,0.0
6606,размахнув,2,0.0
6607,правою,7,0.0
6608,рукою,29,0.01
6609,грохота,1,0.0
6610,рукоплесканий,1,0.0
6611,хохота,4,0.0
6612,танцующие,2,0.0
6613,дыхание,16,0.0
6614,утираясь,2,0.0
6615,батистовыми,1,0.0
6616,платками,6,0.0
6617,танцовали,10,0.0
6618,ай,10,0.0
6619,данила,4,0.0
6620,продолжительно,6,0.0
6621,засучивая,3,0.0
6622,шестой,10,0.0
6623,англез,1,0.0
6624,усталости,15,0.0
6625,фальшививших,1,0.0
6626,музыкантов,1,0.0
6627,усталые,2,0.0
6628,повара,7,0.0
6629,готовили,4,0.0
6630,безуховым,10,0.0
6631,удар,24,0.0
6632,объявили,5,0.0
6633,выздоровлению,1,0.0
6634,больному,11,0.0
6635,дана,6,0.0
6636,глухая,1,0.0
6637,исповедь,4,0.0
6638,причастие,2,0.0
6639,приготовления,9,0.0
6640,соборования,1,0.0
6641,суетня,1,0.0
6642,тревога,6,0.0
6643,ожидания,19,0.0
6644,обыкновенные,5,0.0
6645,вне,45,0.01
6646,воротами,2,0.0
6647,скрываясь,3,0.0
6648,подъезжающих,5,0.0
6649,экипажей,5,0.0
6650,гробовщики,1,0.0
6651,богатого,5,0.0
6652,заказа,2,0.0
6653,похороны,2,0.0
6654,главнокомандующий,49,0.01
6655,москвы,205,0.04
6656,присылал,1,0.0
6657,адъютантов,26,0.0
6658,узнавать,5,0.0
6659,приезжал,17,0.0
6660,проститься,9,0.0
6661,знаменитым,5,0.0
6662,екатерининским,2,0.0
6663,вельможей,2,0.0
6664,великолепная,1,0.0
6665,приемная,2,0.0
6666,полна,4,0.0
6667,пробыв,2,0.0
6668,наедине,7,0.0
6669,больным,9,0.0
6670,поклоны,5,0.0
6671,устремленных,4,0.0
6672,взглядов,7,0.0
6673,докторов,14,0.0
6674,духовных,2,0.0
6675,родственников,1,0.0
6676,похудевший,1,0.0
6677,побледневший,1,0.0
6678,дни,40,0.01
6679,матушка,22,0.0
6680,главнокомандующего,80,0.02
6681,стул,14,0.0
6682,закинув,2,0.0
6683,коленку,3,0.0
6684,упирая,1,0.0
6685,локоть,8,0.0
6686,посидев,5,0.0
6687,непривычно,3,0.0
6688,поспешными,2,0.0
6689,кругом,27,0.01
6690,длинный,14,0.0
6691,корридор,1,0.0
6692,находившиеся,4,0.0
6693,освещенной,7,0.0
6694,неровным,1,0.0
6695,замолкали,2,0.0
6696,полными,6,0.0
6697,вопроса,40,0.01
6698,оглядывались,6,0.0
6699,умирающего,7,0.0
6700,издавала,2,0.0
6701,слабый,9,0.0
6702,входил,17,0.0
6703,предел,7,0.0
6704,человеческий,18,0.0
6705,старичок,24,0.0
6706,духовное,4,0.0
6707,даме,6,0.0
6708,подсевшей,1,0.0
6709,слушавшей,2,0.0
6710,положен,6,0.0
6711,прейдеши,1,0.0
6712,поздно,51,0.01
6713,соборовать,2,0.0
6714,прибавляя,3,0.0
6715,духовный,4,0.0
6716,титул,6,0.0
6717,таинство,5,0.0
6718,отвечало,2,0.0
6719,пролегало,1,0.0
6720,прядей,1,0.0
6721,зачесанных,1,0.0
6722,полуседых,1,0.0
6723,спрашивали,14,0.0
6724,моложавый,1,0.0
6725,седьмой,3,0.0
6726,десяток,3,0.0
6727,семь,27,0.01
6728,соборовался,1,0.0
6729,заплаканными,3,0.0
6730,лоррена,3,0.0
6731,грациозной,1,0.0
6732,позе,21,0.0
6733,екатерины,10,0.0
6734,погода,8,0.0
6735,похожа,7,0.0
6736,лекарство,7,0.0
6737,брегет,1,0.0
6738,возьмите,11,0.0
6739,отварной,2,0.0
6740,воды,24,0.0
6741,положите,1,0.0
6742,пальцами,26,0.0
6743,пило,3,0.0
6744,слушай,16,0.0
6745,адъютанту,14,0.0
6746,чтопи,1,0.0
6747,шивъ,1,0.0
6748,оставался,21,0.0
6749,окотник,1,0.0
6750,найдутся,3,0.0
6751,скрипнула,4,0.0
6752,сделав,17,0.0
6753,питье,2,0.0
6754,показанное,1,0.0
6755,лорреном,1,0.0
6756,понесла,4,0.0
6757,лоррену,2,0.0
6758,дотянется,1,0.0
6759,завтрашнего,4,0.0
6760,отрицательно,7,0.0
6761,ночью,33,0.01
6762,позже,4,0.0
6763,приличною,1,0.0
6764,самодовольства,5,0.0
6765,умеет,11,0.0
6766,понимать,55,0.01
6767,выражать,12,0.0
6768,отворил,9,0.0
6769,полутемно,2,0.0
6770,лампадки,2,0.0
6771,горели,10,0.0
6772,образами,9,0.0
6773,куреньем,1,0.0
6774,цветами,5,0.0
6775,уставлена,1,0.0
6776,мелкою,2,0.0
6777,мебелью,5,0.0
6778,шифоньерок,1,0.0
6779,шкапчиков,1,0.0
6780,столиков,1,0.0
6781,ширм,2,0.0
6782,покрывала,2,0.0
6783,пуховой,2,0.0
6784,кровати,33,0.01
6785,собачка,1,0.0
6786,залаяла,1,0.0
6787,необыкновенно,19,0.0
6788,гладки,1,0.0
6789,сделаны,12,0.0
6790,куска,2,0.0
6791,покрыты,2,0.0
6792,лаком,2,0.0
6793,случилось,67,0.01
6794,напугалась,1,0.0
6795,катишь,9,0.0
6796,устало,4,0.0
6797,садясь,7,0.0
6798,щепотку,1,0.0
6799,кремортартара,1,0.0
6800,нагрела,1,0.0
6801,садись,18,0.0
6802,неизменным,5,0.0
6803,каменно,2,0.0
6804,строгим,28,0.01
6805,готовясь,5,0.0
6806,уснуть,1,0.0
6807,относилось,7,0.0
6808,многому,1,0.0
6809,такому,11,0.0
6810,несообразно,3,0.0
6811,сухою,3,0.0
6812,прямою,2,0.0
6813,бесстрастно,1,0.0
6814,выпуклыми,2,0.0
6815,серыми,4,0.0
6816,образа,14,0.0
6817,объяснить,33,0.01
6818,печали,13,0.0
6819,скорый,1,0.0
6820,отдых,7,0.0
6821,объяснил,21,0.0
6822,легче,16,0.0
6823,щеки,16,0.0
6824,начали,12,0.0
6825,подергиваться,1,0.0
6826,показывалось,3,0.0
6827,нагло,2,0.0
6828,худыми,4,0.0
6829,коленях,11,0.0
6830,собачку,2,0.0
6831,прервет,1,0.0
6832,вопросом,24,0.0
6833,катерина,5,0.0
6834,семеновна,3,0.0
6835,внутренней,6,0.0
6836,борьбы,13,0.0
6837,приступая,3,0.0
6838,продолжению,1,0.0
6839,тускло,1,0.0
6840,неподвижно,37,0.01
6841,заморен,1,0.0
6842,почтовая,2,0.0
6843,лошадь,181,0.03
6844,мамонтовы,1,0.0
6845,прямые,4,0.0
6846,наследники,3,0.0
6847,вещах,3,0.0
6848,готовым,5,0.0
6849,послал,35,0.01
6850,портрет,13,0.0
6851,княжну,66,0.01
6852,перестаю,2,0.0
6853,молить,1,0.0
6854,помиловал,2,0.0
6855,душе,127,0.02
6856,покинуть,4,0.0
6857,нетерпеливо,7,0.0
6858,злобой,12,0.0
6859,отодвинутый,2,0.0
6860,прошлою,2,0.0
6861,зимой,4,0.0
6862,имение,11,0.0
6863,помимо,6,0.0
6864,прямых,2,0.0
6865,наследников,2,0.0
6866,отдавал,19,0.0
6867,завещаний,1,0.0
6868,завещать,1,0.0
6869,прижав,4,0.0
6870,оживившись,2,0.0
6871,начав,5,0.0
6872,скорей,10,0.0
6873,усыновить,1,0.0
6874,заслугам,2,0.0
6875,уважена,2,0.0
6876,улыбаются,3,0.0
6877,кем,44,0.01
6878,разговаривают,2,0.0
6879,хватая,13,0.0
6880,отослано,1,0.0
6881,кончится,13,0.0
6882,вздохнул,34,0.01
6883,разумел,3,0.0
6884,вскроют,1,0.0
6885,бумаги,38,0.01
6886,письмом,20,0.0
6887,передано,4,0.0
6888,наверно,4,0.0
6889,законный,2,0.0
6890,получит,11,0.0
6891,иронически,8,0.0
6892,случиться,12,0.0
6893,получите,4,0.0
6894,написаны,4,0.0
6895,уничтожены,4,0.0
6896,забыты,3,0.0
6897,недоставало,3,0.0
6898,сардонически,1,0.0
6899,вашему,25,0.0
6900,наследовать,1,0.0
6901,полагая,17,0.0
6902,окончательно,13,0.0
6903,неосновательность,1,0.0
6904,умна,10,0.0
6905,признать,17,0.0
6906,законным,4,0.0
6907,утешения,15,0.0
6908,добродетельна,1,0.0
6909,недействительно,1,0.0
6910,совершенную,5,0.0
6911,дуру,2,0.0
6912,полагающие,2,0.0
6913,остроумное,1,0.0
6914,оскорбительное,1,0.0
6915,пикироваться,1,0.0
6916,родною,1,0.0
6917,хорошею,1,0.0
6918,истинною,5,0.0
6919,твоих,10,0.0
6920,интересах,1,0.0
6921,десятый,3,0.0
6922,пользу,19,0.0
6923,бумагах,1,0.0
6924,голубушка,16,0.0
6925,сестрами,1,0.0
6926,наследница,1,0.0
6927,веришь,7,0.0
6928,поверь,2,0.0
6929,знающим,1,0.0
6930,дмитрием,2,0.0
6931,онуфриичем,1,0.0
6932,адвокат,2,0.0
6933,мыслях,6,0.0
6934,побледнели,1,0.0
6935,прорывался,1,0.0
6936,раскатами,1,0.0
6937,ожидала,14,0.0
6938,отсюда,12,0.0
6939,вытекает,9,0.0
6940,сбросила,2,0.0
6941,колен,5,0.0
6942,благодарность,8,0.0
6943,признательность,1,0.0
6944,пожертвовали,2,0.0
6945,низости,4,0.0
6946,обмана,4,0.0
6947,зависти,8,0.0
6948,интриг,10,0.0
6949,неблагодарности,3,0.0
6950,черной,7,0.0
6951,ожидать,14,0.0
6952,подергиванием,1,0.0
6953,щек,6,0.0
6954,глупа,9,0.0
6955,верила,10,0.0
6956,жертвовала,1,0.0
6957,успевают,1,0.0
6958,подлы,1,0.0
6959,гадки,2,0.0
6960,чьи,5,0.0
6961,интриги,9,0.0
6962,разочаровавшегося,1,0.0
6963,человеческом,4,0.0
6964,забыто,11,0.0
6965,исправить,3,0.0
6966,облегчить,6,0.0
6967,допустить,24,0.0
6968,несправедливости,4,0.0
6969,умереть,27,0.01
6970,несчастными,2,0.0
6971,подхватила,4,0.0
6972,порываясь,4,0.0
6973,пустил,16,0.0
6974,ценить,5,0.0
6975,помнить,9,0.0
6976,награды,16,0.0
6977,чести,18,0.0
6978,справедливости,10,0.0
6979,злою,2,0.0
6980,успокойся,3,0.0
6981,злое,4,0.0
6982,ценю,4,0.0
6983,твою,11,0.0
6984,дружбу,9,0.0
6985,сутки,6,0.0
6986,расскажи,5,0.0
6987,завещании,1,0.0
6988,возьмем,6,0.0
6989,покажем,2,0.0
6990,уничтожить,5,0.0
6991,свято,1,0.0
6992,исполнить,32,0.01
6993,волю,27,0.01
6994,мерзкую,2,0.0
6995,гадкую,3,0.0
6996,втерлась,1,0.0
6997,скверности,1,0.0
6998,повторить,7,0.0
6999,недели,35,0.01
7000,бумагу,23,0.0
7001,мозаиковом,1,0.0
7002,портфеле,1,0.0
7003,подушкой,3,0.0
7004,ненависть,10,0.0
7005,мерзавке,1,0.0
7006,прокричала,7,0.0
7007,изменившись,1,0.0
7008,втирается,1,0.0
7009,выскажу,1,0.0
7010,придет,12,0.0
7011,происходили,5,0.0
7012,приемной,17,0.0
7013,княжниной,1,0.0
7014,послано,7,0.0
7015,въезжала,1,0.0
7016,колеса,13,0.0
7017,мягко,5,0.0
7018,зазвучали,5,0.0
7019,соломе,4,0.0
7020,настланной,1,0.0
7021,окнами,4,0.0
7022,обратившись,5,0.0
7023,спутнику,1,0.0
7024,утешительными,1,0.0
7025,толком,1,0.0
7026,терять,4,0.0
7027,спит,14,0.0
7028,углу,34,0.01
7029,разбудила,3,0.0
7030,свидании,10,0.0
7031,умирающим,2,0.0
7032,ожидало,4,0.0
7033,подъехали,17,0.0
7034,парадному,1,0.0
7035,заднему,5,0.0
7036,подъезду,3,0.0
7037,сходил,2,0.0
7038,подножки,3,0.0
7039,мещанской,2,0.0
7040,одежде,4,0.0
7041,отбежали,1,0.0
7042,тень,9,0.0
7043,приостановившись,1,0.0
7044,разглядел,1,0.0
7045,кучер,24,0.0
7046,обратили,6,0.0
7047,решил,43,0.01
7048,узкой,9,0.0
7049,каменной,1,0.0
7050,подзывая,1,0.0
7051,отстававшего,1,0.0
7052,понимал,88,0.02
7053,задней,4,0.0
7054,судя,21,0.0
7055,уверенности,7,0.0
7056,половине,15,0.0
7057,сбили,1,0.0
7058,ведрами,1,0.0
7059,сапогами,5,0.0
7060,сбегали,1,0.0
7061,навстречу,53,0.01
7062,прижались,2,0.0
7063,показали,9,0.0
7064,удивления,9,0.0
7065,смелым,5,0.0
7066,площадку,2,0.0
7067,поровняться,1,0.0
7068,страдаю,4,0.0
7069,мужчиной,10,0.0
7070,вздохнула,19,0.0
7071,покорно,19,0.0
7072,последовал,2,0.0
7073,отворявшею,1,0.0
7074,заднего,7,0.0
7075,хода,15,0.0
7076,слуга,21,0.0
7077,вязал,2,0.0
7078,чулок,6,0.0
7079,покоев,3,0.0
7080,обгонявшей,1,0.0
7081,графином,2,0.0
7082,подносе,2,0.0
7083,девушки,25,0.0
7084,назвав,6,0.0
7085,милою,3,0.0
7086,голубушкой,1,0.0
7087,повлекла,2,0.0
7088,дальше,129,0.02
7089,каменному,2,0.0
7090,коридора,14,0.0
7091,жилые,1,0.0
7092,второпях,3,0.0
7093,затворила,3,0.0
7094,заглянули,2,0.0
7095,разговаривая,26,0.0
7096,васильем,4,0.0
7097,проходящих,2,0.0
7098,нетерпеливое,2,0.0
7099,откинулся,1,0.0
7100,изо,8,0.0
7101,хлопнула,1,0.0
7102,дверью,22,0.0
7103,затворяя,3,0.0
7104,всегдашнее,2,0.0
7105,спокойствие,18,0.0
7106,выразившийся,2,0.0
7107,несвойствен,1,0.0
7108,важности,8,0.0
7109,остановившись,12,0.0
7110,руководительницу,3,0.0
7111,выразила,2,0.0
7112,значило,21,0.0
7113,коридором,1,0.0
7114,полуосвещенную,1,0.0
7115,примыкавшую,1,0.0
7116,холодных,4,0.0
7117,забудьте,7,0.0
7118,неправы,4,0.0
7119,полюбила,13,0.0
7120,доверьтесь,2,0.0
7121,забуду,7,0.0
7122,ваших,21,0.0
7123,интересов,13,0.0
7124,мужчиною,1,0.0
7125,блюсти,6,0.0
7126,вашими,7,0.0
7127,интересами,11,0.0
7128,роскошных,2,0.0
7129,парадного,1,0.0
7130,крыльца,26,0.0
7131,посередине,1,0.0
7132,пустая,1,0.0
7133,ванна,1,0.0
7134,пролита,1,0.0
7135,вода,14,0.0
7136,причетник,1,0.0
7137,кадилом,1,0.0
7138,приемную,19,0.0
7139,итальянскими,1,0.0
7140,зимний,2,0.0
7141,сад,15,0.0
7142,бюстом,1,0.0
7143,рост,3,0.0
7144,положениях,2,0.0
7145,перешептываясь,1,0.0
7146,смолкнув,1,0.0
7147,вошедшую,2,0.0
7148,бледным,17,0.0
7149,следовал,3,0.0
7150,выразилось,9,0.0
7151,решительная,4,0.0
7152,наступила,9,0.0
7153,отпуская,6,0.0
7154,смелее,3,0.0
7155,чувствовала,85,0.02
7156,умирающий,3,0.0
7157,прием,13,0.0
7158,обеспечен,1,0.0
7159,быстрым,19,0.0
7160,графова,1,0.0
7161,духовника,1,0.0
7162,согнувшись,7,0.0
7163,подплыла,1,0.0
7164,духовнику,2,0.0
7165,благословение,1,0.0
7166,духовного,8,0.0
7167,духовному,1,0.0
7168,родные,6,0.0
7169,тише,9,0.0
7170,ужасная,6,0.0
7171,проговорив,2,0.0
7172,доктору,6,0.0
7173,возвел,1,0.0
7174,возвела,1,0.0
7175,отошла,11,0.0
7176,указав,2,0.0
7177,диванчик,1,0.0
7178,подождать,22,0.0
7179,неслышно,4,0.0
7180,направилась,4,0.0
7181,слышным,5,0.0
7182,звуком,7,0.0
7183,скрылась,6,0.0
7184,милосердию,1,0.0
7185,решившись,2,0.0
7186,повиноваться,8,0.0
7187,руководительнице,1,0.0
7188,направился,24,0.0
7189,диванчику,1,0.0
7190,указала,8,0.0
7191,любопытством,18,0.0
7192,устремились,2,0.0
7193,перешептывались,2,0.0
7194,страхом,18,0.0
7195,подобострастием,1,0.0
7196,оказывали,4,0.0
7197,какого,58,0.01
7198,неизвестная,5,0.0
7199,духовными,2,0.0
7200,места,86,0.02
7201,предложила,9,0.0
7202,поднял,55,0.01
7203,уроненную,1,0.0
7204,перчатку,10,0.0
7205,замолкли,14,0.0
7206,проходил,11,0.0
7207,посторонились,1,0.0
7208,стеснять,3,0.0
7209,обойти,14,0.0
7210,нынешнюю,2,0.0
7211,обязано,1,0.0
7212,совершить,9,0.0
7213,страшный,27,0.01
7214,ожидаемый,3,0.0
7215,услуги,7,0.0
7216,адъютанта,61,0.01
7217,выставленные,1,0.0
7218,колени,14,0.0
7219,наивной,2,0.0
7220,египетской,2,0.0
7221,статуи,3,0.0
7222,потеряться,2,0.0
7223,наделать,1,0.0
7224,глупостей,7,0.0
7225,действовать,28,0.01
7226,соображениям,10,0.0
7227,предоставить,1,0.0
7228,руководили,3,0.0
7229,кафтане,12,0.0
7230,тремя,8,0.0
7231,звездами,8,0.0
7232,величественно,6,0.0
7233,неся,8,0.0
7234,похудевшим,1,0.0
7235,держится,3,0.0
7236,почел,1,0.0
7237,замялся,4,0.0
7238,назвать,8,0.0
7239,унывать,6,0.0
7240,велел,80,0.02
7241,позвать,8,0.0
7242,состоянии,67,0.01
7243,неясности,4,0.0
7244,представился,11,0.0
7245,сообразил,2,0.0
7246,ударом,7,0.0
7247,называется,11,0.0
7248,болезнь,29,0.01
7249,подпрыгивал,1,0.0
7250,прошли,31,0.01
7251,духовные,4,0.0
7252,причетники,1,0.0
7253,прислуга,7,0.0
7254,этою,49,0.01
7255,послышалось,14,0.0
7256,передвиженье,1,0.0
7257,долга,5,0.0
7258,выбежала,19,0.0
7259,дотронувшись,5,0.0
7260,ступая,9,0.0
7261,мягкому,1,0.0
7262,незнакомая,1,0.0
7263,прислуги,4,0.0
7264,разрешения,9,0.0
7265,входить,6,0.0
7266,разделенную,1,0.0
7267,колоннами,4,0.0
7268,аркой,1,0.0
7269,обитую,1,0.0
7270,персидскими,2,0.0
7271,коврами,3,0.0
7272,красного,14,0.0
7273,дерева,5,0.0
7274,кровать,17,0.0
7275,шелковыми,2,0.0
7276,занавесами,2,0.0
7277,киот,1,0.0
7278,красно,9,0.0
7279,ярко,28,0.01
7280,освещена,3,0.0
7281,бывают,23,0.0
7282,церкви,30,0.01
7283,службы,42,0.01
7284,освещенными,1,0.0
7285,ризами,2,0.0
7286,киота,1,0.0
7287,длинное,1,0.0
7288,вольтеровское,1,0.0
7289,обложенном,1,0.0
7290,вверху,6,0.0
7291,снежно,1,0.0
7292,смятыми,1,0.0
7293,перемененными,1,0.0
7294,подушками,6,0.0
7295,укрытая,1,0.0
7296,пояса,2,0.0
7297,зеленым,5,0.0
7298,одеялом,9,0.0
7299,знакомая,5,0.0
7300,величественная,4,0.0
7301,седою,5,0.0
7302,гривой,3,0.0
7303,напоминавших,1,0.0
7304,широким,7,0.0
7305,лбом,6,0.0
7306,характерно,1,0.0
7307,благородными,1,0.0
7308,крупными,5,0.0
7309,морщинами,6,0.0
7310,красивом,6,0.0
7311,желтом,3,0.0
7312,лежал,59,0.01
7313,толстые,3,0.0
7314,простаны,1,0.0
7315,одеяла,5,0.0
7316,полчаса,18,0.0
7317,милосердие,6,0.0
7318,божие,3,0.0
7319,неисчерпаемо,1,0.0
7320,соборование,1,0.0
7321,начнется,4,0.0
7322,правую,13,0.0
7323,указательным,1,0.0
7324,вставлена,1,0.0
7325,восковая,1,0.0
7326,свеча,6,0.0
7327,придерживал,1,0.0
7328,креслом,1,0.0
7329,величественных,1,0.0
7330,блестящих,17,0.0
7331,одеждах,3,0.0
7332,выпростанными,2,0.0
7333,волосами,32,0.01
7334,зажженными,2,0.0
7335,свечами,7,0.0
7336,служили,6,0.0
7337,позади,51,0.01
7338,злобным,4,0.0
7339,икон,1,0.0
7340,отвечает,12,0.0
7341,оглянется,2,0.0
7342,печалью,2,0.0
7343,всепрощением,1,0.0
7344,резным,1,0.0
7345,бархатным,1,0.0
7346,стулом,2,0.0
7347,поворотил,5,0.0
7348,спинкой,4,0.0
7349,левую,11,0.0
7350,свечой,2,0.0
7351,крестился,3,0.0
7352,приставлял,2,0.0
7353,персты,1,0.0
7354,лбу,15,0.0
7355,спокойную,3,0.0
7356,набожность,1,0.0
7357,воле,40,0.01
7358,божией,4,0.0
7359,чувств,15,0.0
7360,говорило,26,0.0
7361,мужская,2,0.0
7362,разделились,2,0.0
7363,молчало,1,0.0
7364,крестилось,1,0.0
7365,слышны,26,0.0
7366,церковное,4,0.0
7367,сдержанное,1,0.0
7368,густое,1,0.0
7369,басовое,1,0.0
7370,пение,8,0.0
7371,перестановка,1,0.0
7372,вздохи,6,0.0
7373,делает,54,0.01
7374,свечу,6,0.0
7375,зажег,3,0.0
7376,развлеченный,1,0.0
7377,наблюдениями,4,0.0
7378,окружающими,5,0.0
7379,креститься,5,0.0
7380,смешливая,1,0.0
7381,софи,5,0.0
7382,родинкою,1,0.0
7383,открывала,3,0.0
7384,глядеть,10,0.0
7385,удержаться,25,0.0
7386,избежание,4,0.0
7387,искушений,3,0.0
7388,колонну,10,0.0
7389,духовенства,1,0.0
7390,державший,4,0.0
7391,дамам,7,0.0
7392,выступила,5,0.0
7393,нагнувшись,8,0.0
7394,поманила,2,0.0
7395,зажженной,1,0.0
7396,свечи,17,0.0
7397,прислонившись,4,0.0
7398,колонне,5,0.0
7399,почтительной,3,0.0
7400,иностранца,1,0.0
7401,совершающегося,13,0.0
7402,обряда,3,0.0
7403,одобряет,1,0.0
7404,неслышными,4,0.0
7405,зеленого,4,0.0
7406,отвернувшись,7,0.0
7407,щупать,1,0.0
7408,пульс,6,0.0
7409,дали,28,0.01
7410,выпить,8,0.0
7411,расступились,2,0.0
7412,богослужение,1,0.0
7413,возобновилось,1,0.0
7414,перерыва,2,0.0
7415,спинки,1,0.0
7416,понимают,10,0.0
7417,пройдя,18,0.0
7418,присоединился,15,0.0
7419,глубь,16,0.0
7420,спальни,5,0.0
7421,скрылись,11,0.0
7422,концом,2,0.0
7423,возвратились,2,0.0
7424,обратил,15,0.0
7425,обстоятельство,6,0.0
7426,решив,8,0.0
7427,уме,8,0.0
7428,совершалось,10,0.0
7429,церковного,1,0.0
7430,пения,8,0.0
7431,прекратились,3,0.0
7432,поздравляло,1,0.0
7433,принятием,1,0.0
7434,таинства,12,0.0
7435,безжизненно,4,0.0
7436,шопоты,1,0.0
7437,шопот,12,0.0
7438,выдавался,1,0.0
7439,перенести,10,0.0
7440,обступили,4,0.0
7441,слуги,9,0.0
7442,желтой,1,0.0
7443,догадался,3,0.0
7444,осторожному,1,0.0
7445,движению,17,0.0
7446,обступивших,1,0.0
7447,поднимали,5,0.0
7448,переносили,2,0.0
7449,держись,4,0.0
7450,уронишь,1,0.0
7451,испуганный,15,0.0
7452,слуг,6,0.0
7453,тяжелые,10,0.0
7454,дыхания,1,0.0
7455,переступанья,1,0.0
7456,торопливее,1,0.0
7457,тяжесть,12,0.0
7458,несли,7,0.0
7459,несущие,1,0.0
7460,поровнялись,2,0.0
7461,спин,6,0.0
7462,затылков,1,0.0
7463,показалась,30,0.01
7464,жирная,2,0.0
7465,открытая,2,0.0
7466,тучные,2,0.0
7467,приподнятые,1,0.0
7468,державшими,1,0.0
7469,мышки,2,0.0
7470,седая,4,0.0
7471,львиная,1,0.0
7472,необычайно,9,0.0
7473,скулами,2,0.0
7474,красивым,11,0.0
7475,чувственным,1,0.0
7476,величественным,4,0.0
7477,обезображена,1,0.0
7478,близостью,4,0.0
7479,какою,36,0.01
7480,беспомощно,4,0.0
7481,покачивалась,1,0.0
7482,неровных,1,0.0
7483,несущих,2,0.0
7484,холодный,18,0.0
7485,безучастный,1,0.0
7486,суетни,1,0.0
7487,несшие,1,0.0
7488,разошлись,7,0.0
7489,дотронулась,7,0.0
7490,праздничной,1,0.0
7491,имевшей,2,0.0
7492,отношение,36,0.01
7493,совершенному,3,0.0
7494,таинству,1,0.0
7495,опираясь,4,0.0
7496,подушки,14,0.0
7497,выложены,1,0.0
7498,зеленом,3,0.0
7499,шелковом,6,0.0
7500,одеяле,3,0.0
7501,ладонями,1,0.0
7502,смысл,38,0.01
7503,покуда,2,0.0
7504,многое,22,0.0
7505,торопливый,1,0.0
7506,посылая,2,0.0
7507,воздушный,5,0.0
7508,поцелуй,7,0.0
7509,старательно,32,0.01
7510,вытягивая,2,0.0
7511,шею,21,0.0
7512,зацепить,3,0.0
7513,одеяло,5,0.0
7514,приложился,2,0.0
7515,ширококостной,1,0.0
7516,мясистой,1,0.0
7517,мускул,1,0.0
7518,дрогнули,1,0.0
7519,спрашивая,34,0.01
7520,стоявшее,3,0.0
7521,садиться,8,0.0
7522,продолжая,35,0.01
7523,наивное,1,0.0
7524,соболезнуя,1,0.0
7525,неуклюжее,1,0.0
7526,толстое,5,0.0
7527,занимало,12,0.0
7528,пространство,23,0.0
7529,употребляя,3,0.0
7530,душевные,5,0.0
7531,находилось,12,0.0
7532,являла,1,0.0
7533,выражении,21,0.0
7534,трогательной,1,0.0
7535,последней,24,0.0
7536,часом,2,0.0
7537,крупных,2,0.0
7538,мускулах,1,0.0
7539,появилось,4,0.0
7540,содрогание,3,0.0
7541,усиливалось,3,0.0
7542,покривился,1,0.0
7543,близок,5,0.0
7544,перекривленного,1,0.0
7545,неясный,2,0.0
7546,хриплый,5,0.0
