,word,frequency
32263,смотревшим,5
32264,«скоро,1
32265,ли?»когда,1
32266,сабли,2
32267,воткнуты,1
32268,означая,1
32269,"барьер,",1
32270,следовало,6
32271,"сходиться,",1
32272,пистолеты,2
32273,"обязанности,",4
32274,оправдал,1
32275,доверия,3
32276,"секундантом,",1
32277,важную,6
32278,правды.,1
32279,"причин,",16
32280,проливать,4
32281,кровь...,1
32282,погорячились...—,1
32283,глупо...,2
32284,"сожаление,",1
32285,противники,5
32286,согласятся,2
32287,"извинение,",1
32288,милый!24сказал,1
32289,участники,2
32290,подобных,8
32291,действительной,4
32292,дуэли).,1
32293,благороднее,1
32294,сознать,3
32295,непоправимого.,1
32296,обиды,4
32297,переговорить...—,1
32298,равно...,2
32299,готово?,1
32300,неестественно-кротко,1
32301,"пистолет,",8
32302,способе,1
32303,"спуска,",1
32304,"пистолета,",3
32305,сознаваться.,1
32306,"извинений,",1
32307,попытку,1
32308,"примирения,",2
32309,месту.место,1
32310,поединка,1
32311,выбрано,2
32312,"сани,",3
32313,полянке,1
32314,соснового,1
32315,покрытой,4
32316,истаявшим,1
32317,оттепелей,1
32318,снегом.,2
32319,краев,1
32320,поляны.,1
32321,"секунданты,",1
32322,размеряя,1
32323,"проложили,",1
32324,отпечатавшиеся,1
32325,"мокрому,",1
32326,глубокому,1
32327,сабель,3
32328,означавших,1
32329,барьер,1
32330,воткнутых,2
32331,оттепель,1
32332,продолжались;,1
32333,медлили,1
32334,начинать.,2
32335,молчали.v.—,1
32336,начинать!,2
32337,улыбаясь.становилось,1
32338,"предотвращено,",1
32339,совершиться.,5
32340,барьера,1
32341,провозгласил:—,1
32342,отказались,1
32343,начать:,1
32344,сходиться.25—,1
32345,р...аз!,1
32346,два!,2
32347,три!...,1
32348,протоптанным,1
32349,дорожкам,1
32350,сходясь,1
32351,"барьера,",1
32352,захочет.,1
32353,вглядываясь,14
32354,противника.,1
32355,подобие,1
32356,улыбки.при,2
32357,сбиваясь,1
32358,протоптанной,2
32359,дорожки,3
32360,цельному,1
32361,снегу.,1
32362,отставлял,1
32363,шесть,16
32364,сбившись,1
32365,потянув,1
32366,"учили,",1
32367,выстрелил.,1
32368,"звука,",3
32369,впечатлению,3
32370,особенно-густой,1
32371,помешал,4
32372,мгновение;,1
32373,"ждал,",4
32374,последовало.,1
32375,торопливые,3
32376,фигура.,1
32377,держался,4
32378,сжимал,2
32379,опущенный,1
32380,пистолет.,4
32381,"падающих,",1
32382,ковыляющих,1
32383,оперся,1
32384,"бледно,",4
32385,нахмуренно,2
32386,дрожало.—,2
32387,пожалу...,1
32388,выговорить...,1
32389,"пожалуйте,",13
32390,усилием.,2
32391,"рыдания,",3
32392,"долохову,",5
32393,отделяющее,2
32394,"барьеры,",1
32395,крикнул:,1
32396,барьеру!,1
32397,сабли.,4
32398,разделяло,1
32399,опустился,7
32400,укусил,1
32401,"поправился,",1
32402,подобрал,2
32403,"сел,",3
32404,прочный,1
32405,тяжести.,1
32406,глотал,1
32407,сосал,1
32408,"дрожали,",2
32409,улыбаясь;,1
32410,26последних,1
32411,сил.,9
32412,целиться.—,1
32413,"боком,",1
32414,закройтесь,1
32415,закройтесь!,1
32416,"выдержав,",1
32417,противнику.пьер,1
32418,"раскаяния,",3
32419,грудью,8
32420,зажмурились.,1
32421,мимо!,1
32422,книзу.,2
32423,повернувшись,5
32424,целиком,2
32425,снегу,10
32426,приговаривая,4
32427,глупо!,1
32428,смерть...,2
32429,ложь...,1
32430,твердил,1
32431,повез,2
32432,домой.ростов,1
32433,"долохова.долохов,",1
32434,закрытыми,5
32435,делали;,1
32436,въехав,2
32437,совершенно-изменившееся,1
32438,восторженно-нежное,1
32439,чувствуешь,2
32440,себя?,3
32441,прерывающимся,3
32442,убил...,1
32443,перенесет,4
32444,перенесет...—,1
32445,моя.,3
32446,"ангел,",7
32447,"заплакал,",4
32448,"успокоился,",4
32449,"матерью,",7
32450,увидит,6
32451,"умирающим,",1
32452,умолял,3
32453,приготовить,11
32454,ее.ростов,1
32455,"буян,",1
32456,бретёр-долохов,1
32457,старушкой-матерью,1
32458,горбатою,2
32459,нежный,7
32460,брат.27vi.пьер,1
32461,виделся,5
32462,глазу,11
32463,гостями.,2
32464,следующую,3
32465,"спальню,",2
32466,"огромном,",2
32467,отцовском,1
32468,"самом,",2
32469,безухов.он,1
32470,прилег,3
32471,буря,3
32472,"спать,",12
32473,вскочить,3
32474,дивана,6
32475,"женитьбы,",3
32476,"усталым,",1
32477,представлялось,33
32478,наглое,1
32479,твердо-насмешливое,1
32480,дрожащее,2
32481,"страдающее,",2
32482,снег.«что,1
32483,"любовника,",2
32484,любовника,1
32485,отчего?,12
32486,"ней»,",1
32487,голос.«но,1
32488,виноват?,3
32489,любя,6
32490,обманул,1
32491,невыходившие,1
32492,aime».1,1
32493,права.,3
32494,вышло».,1
32495,медовый,2
32496,"месяц,",5
32497,воспоминании.,3
32498,"живо,",1
32499,постыдно,1
32500,12-м,13
32501,принципала.«а,1
32502,гордился,5
32503,величавою,1
32504,"красотой,",3
32505,люблю.28ее,1
32506,"тактом,",2
32507,неприступностию,1
32508,гордился?!,1
32509,вдумываясь,2
32510,всегдашнего,1
32511,"спокойствия,",5
32512,удовлетворенности,1
32513,отсутствия,3
32514,пристрастий,1
32515,разгадка,1
32516,развратная,3
32517,женщина:,1
32518,ясно!«анатоль,1
32519,"шутя,",2
32520,ревность;,1
32521,ревнивою:,1
32522,беременности.,1
32523,желать,8
32524,будет».потом,1
32525,"грубость,",1
32526,вульгарность,1
32527,"выражений,",2
32528,свойственных,2
32529,высшем,6
32530,аристократическом,1
32531,кругу.,2
32532,какая-нибудь,3
32533,дура...,1
32534,попробуй...,1
32535,"promener»,1",1
32536,этом.«и,1
32537,каким-то,10
32538,молодечеством,1
32539,раскаяние!»пьер,1
32540,"внешнюю,",1
32541,называемую,1
32542,ищут,1
32543,поверенного,1
32544,горя.,4
32545,перерабатывал,2
32546,горе.«она,1
32547,этот:,2
32548,"aime»,2",1
32549,ложь,6
32550,нести...1,1
32551,убирайся.2,1
32552,люблю?29что́?,1
32553,жизни?,3
32554,"условно,",3
32555,меня.«людовика,1
32556,xvi,6
32557,казнили,5
32558,бесчестен,1
32559,преступник,2
32560,(пришло,1
32561,"голову),",1
32562,правы,6
32563,умирали,2
32564,мученическою,1
32565,причисляли,1
32566,лику,1
32567,святых.,1
32568,робеспьера,1
32569,деспот.,1
32570,никто.,1
32571,жив,11
32572,живи:,1
32573,"мучиться,",1
32574,вечностью?»,1
32575,успокоенным,3
32576,"рассуждениями,",2
32577,неискреннюю,1
32578,"сердцу,",2
32579,"вставать,",1
32580,"ломать,",1
32581,рвать,2
32582,попадающиеся,1
32583,«зачем,3
32584,ей:,4
32585,aime?»,1
32586,повторив,5
32587,мольерово:,1
32588,diable,2
32589,allait,2
32590,galère?1,1
32591,собою.ночью,1
32592,позвал,11
32593,"укладываться,",1
32594,кровлей.,2
32595,разлучиться,1
32596,"нею.утром,",1
32597,"камердинер,",7
32598,"кофей,",1
32599,раскрытою,2
32600,спал.он,1
32601,находится.—,1
32602,приказала,2
32603,камердинер.но,1
32604,"сделает,",3
32605,"белом,",3
32606,атласном,2
32607,(две,1
32608,косы,1
32609,diadème2,1
32610,огибали,1
32611,прелестную,1
32612,голову),1
32613,величественно;,1
32614,мраморном,1
32615,выпуклом,1
32616,[но,1
32617,чортом,2
32618,понесло,2
32619,галеру?]2,1
32620,диадемою30лбе,1
32621,морщинка,2
32622,всёвыдерживающим,1
32623,камердинере.,1
32624,дуэли,8
32625,"дождалась,",2
32626,уставил,2
32627,кофей,1
32628,"заяц,",2
32629,"собаками,",5
32630,"уши,",5
32631,лежать,2
32632,"врагов,",2
32633,попробовал,4
32634,читать:,1
32635,"села,",6
32636,камердинер.—,1
32637,"наделали,",1
32638,"спрашиваю,",4
32639,храбрец,1
32640,отыскался!,1
32641,"отвечайте,",1
32642,дуэль?,2
32643,доказать!,1
32644,"отвечаете,",1
32645,скажу...,1
32646,скажут.,1
32647,сказали...,1
32648,грубою,2
32649,точностью,4
32650,"«любовник»,",1
32651,поверили!,1
32652,доказали?,1
32653,доказали,3
32654,дуэлью?,1
32655,"sot,",1
32656,знали!,1
32657,поведет?,1
32658,посмешищем,1
32659,москвы;,2
32660,"виде,",4
32661,помня,3
32662,вызвали,4
32663,"ревнуете,",1
32664,возвышала,3
32665,"одушевлялась,",1
32666,отношениях...—,1
32667,мычал,1
32668,членом.—,1
32669,любовник?...,1
32670,почему?,3
32671,общество?,1
32672,"приятнее,",2
32673,предпочитала,1
32674,ваше.—,1
32675,мной...,3
32676,хрипло,4
32677,(des,1
32678,"amants),",1
32679,"сделала,",5
32680,странными,5
32681,"31глазами,",1
32682,лег.,4
32683,страдал,9
32684,минуту:,1
32685,"стесняло,",1
32686,дышать.,1
32687,прекратить,12
32688,"страдание,",4
32689,страшно.—,2
32690,"расстаться,",4
32691,прерывисто.—,1
32692,"извольте,",2
32693,элен...,2
32694,испугали!пьер,1
32695,шатаясь,1
32696,"доску,",3
32697,неизвестною,2
32698,"силой,",9
32699,нее.лицо,1
32700,страшно:,2
32701,взвизгнула,2
32702,порода,2
32703,сказалась,1
32704,увлечение,4
32705,бешенства.,1
32706,раскрытыми,6
32707,подступая,1
32708,«вон!!»,1
32709,комнаты.через,1
32710,неделю,15
32711,выдал,4
32712,доверенность,2
32713,управление,2
32714,великорусскими,1
32715,"имениями,",1
32716,бо́льшую,2
32717,"состояния,",6
32718,петербург.vii.прошло,1
32719,посольство,1
32720,"розыски,",1
32721,"найдено,",2
32722,пленных.,14
32723,поднят,4
32724,жителями,7
32725,выздоравливающий,1
32726,"чужих,",1
32727,вести.,1
32728,"газетах,",1
32729,баталий,1
32730,отретироваться,1
32731,ретираду,1
32732,произвели,4
32733,порядке.,2
32734,официального,1
32735,"газеты,",1
32736,принесшей,1
32737,32известие,1
32738,аустерлицкой,4
32739,"битве,",1
32740,извещал,2
32741,"участи,",1
32742,сына.«ваш,1
32743,"героем,",2
32744,достойным,5
32745,отечества.,7
32746,сожалению,1
32747,"льщу,",1
32748,найденных,2
32749,коих,1
32750,список,6
32751,"парламентеров,",2
32752,поименован,1
32753,был».получив,1
32754,утреннюю,2
32755,прогулку;,1
32756,молчалив,2
32757,"приказчиком,",1
32758,садовником,1
32759,архитектором,1
32760,гневен,1
32761,"сказал.когда,",1
32762,"точил,",1
32763,марья!,1
32764,стамеску.,1
32765,(колесо,1
32766,вертелось,1
32767,размаха.,1
32768,замирающий,1
32769,скрип,3
32770,слился,2
32771,последовало.)княжна,1
32772,опустилось,2
32773,"грустному,",1
32774,"убитому,",1
32775,работающему,1
32776,повисло,1
32777,задавит,1
32778,худшее,1
32779,испытанное,6
32780,"непоправимое,",1
32781,"непостижимое,",1
32782,любишь.—,1
32783,père!,1
32784,andré?1,1
32785,"неграциозная,",1
32786,неловкая,1
32787,невыразимою,2
32788,всхлипнув,2
32789,известие.,4
32790,"пронзительно,",3
32791,убит!княжна,1
32792,дурноты.,1
32793,"бледна,",2
32794,услыхала,8
32795,просияло,2
32796,"лучистых,",1
32797,"радость,",9
32798,независимая,3
32799,андрей?33радостей,1
32800,разлилась,1
32801,сильной,3
32802,"печали,",8
32803,"сухую,",1
32804,жилистую,1
32805,отвертывайтесь,1
32806,будемте,1
32807,"мерзавцы,",2
32808,подлецы!,1
32809,отстраняя,1
32810,губить,2
32811,людей!,3
32812,лизе.княжна,1
32813,прощался,3
32814,"лизой,",1
32815,высокомерным,1
32816,надевал,3
32817,«верил,1
32818,раскаялся,2
32819,неверии?,1
32820,обители,1
32821,блаженства?»,1
32822,славу.,2
32823,лизе.,1
32824,приду.когда,1
32825,"работой,",2
32826,внутреннего,10
32827,счастливо-спокойного,1
32828,свойственного,1
32829,беременным,1
32830,"женщинам,",3
32831,вглубь,1
32832,"таинственное,",1
32833,совершающееся,1
32834,отстраняясь,1
32835,пялец,1
32836,наложила,2
32837,живот.глаза,1
32838,улыбались,2
32839,детски-счастливо,1
32840,поднятою.княжна,1
32841,колени,7
32842,невестки.—,1
32843,золовку.,1
32844,головы:,1
32845,маша?34—,1
32846,стало...,1
32847,"андрее,",7
32848,отирая,2
32849,приготавливать,2
32850,встревожили,1
32851,наблюдательна.,1
32852,"боялась,",7
32853,"особенно-неспокойным,",1
32854,злым,5
32855,задумалась,3
32856,внутрь,4
32857,беременных,2
32858,притти,14
32859,"беспокоится,",1
32860,ничего?—,1
32861,невестку.,2
32862,уговорила,1
32863,получение,3
32864,"разрешения,",2
32865,на-днях.,2
32866,"по-своему,",2
32867,скрывали,2
32868,надеяться:,1
32869,чиновника,5
32870,розыскивать,1
32871,след,4
32872,заказал,2
32873,"памятник,",2
32874,"ел,",2
32875,"спал,",4
32876,слабее.,1
32877,надеялась.,1
32878,возвращении.viii.—,1
32879,"завтрака,",2
32880,привычке;,1
32881,"улыбках,",1
32882,друг35звуках,1
32883,походках,1
32884,поддавшейся,2
32885,"настроению,",2
32886,знавшей,1
32887,печали.—,1
32888,fruschtique,1
32889,(comme,2
32890,фока,2
32891,повар),1
32892,matin,1
32893,m’aie,1
32894,mal.1—,1
32895,душа?,1
32896,бледна.,1
32897,тяжелыми,2
32898,невестке.—,1
32899,богдановной?,1
32900,горничных.,1
32901,богдановна,2
32902,акушерка,1
32903,уездного,2
32904,жившая,7
32905,неделю.)—,1
32906,точно.,3
32907,пойду.,2
32908,ange!2,1
32909,лизу,2
32910,"бледности,",3
32911,неотвратимого,3
32912,физического,6
32913,страдания.—,1
32914,l’estomac...,1
32915,"l’estomac,",1
32916,dites...3,1
32917,"детски-страдальчески,",1
32918,капризно,1
32919,ломая,2
32920,ручки.,1
32921,богдановной.—,1
32922,dieu!4,1
32923,себя.потирая,1
32924,"полные,",1
32925,"небольшие,",2
32926,"навстречу,",3
32927,значительно-спокойным,1
32928,акушерка.—,1
32929,богдановна!,1
32930,испуганно-раскрытыми,1
32931,бабушку.—,1
32932,богдановна.,1
32933,девицам,2
32934,следует.—,1
32935,приехал?,4
32936,(по,10
32937,желанию,7
32938,сроку,1
32939,послано,5
32940,"акушером,",2
32941,минуту.)1,1
32942,"дружочек,",2
32943,фриштика,1
32944,называет,3
32945,фока),1
32946,дурно.2,1
32947,ангел.3,1
32948,желудок...,2
32949,желудок...4,1
32950,ах!36—,1
32951,"богдановна,",2
32952,будет.через,1
32953,"услыхала,",1
32954,тяжелое.,1
32955,несли,6
32956,несших,2
32957,торжественное,4
32958,тихое.княжна,1
32959,коридоре.,1
32960,отворачивались,2
32961,затворяла,1
32962,возвращалась,2
32963,бралась,2
32964,"молитвенник,",1
32965,киотом.,1
32966,несчастию,1
32967,утишала,1
32968,повязанная,2
32969,прасковья,1
32970,"савишна,",1
32971,запрещения,1
32972,входившая,3
32973,"машенька,",1
32974,"посидеть,",1
32975,"няня,",7
32976,княжовы,1
32977,свечи,7
32978,венчальные,1
32979,угодником,1
32980,"принесла,",1
32981,вздохнув.—,1
32982,няня.—,1
32983,"милостив,",1
32984,голубка.,1
32985,зажгла,2
32986,киотом,1
32987,обвитые,1
32988,чулком,2
32989,успокоительно,3
32990,разлито,1
32991,"поверью,",1
32992,страданиях,2
32993,"родильницы,",1
32994,"страдает,",4
32995,притвориться,3
32996,незнающими;,1
32997,"людях,",5
32998,обычной,2
32999,степенности,2
33000,"манер,",1
33001,царствовавших,1
33002,"забота,",1
33003,смягченность,1
33004,"великого,",4
33005,"непостижимого,",2
33006,минуту.в,1
33007,готове,1
33008,37жгли,1
33009,лучины,1
33010,спали.,3
33011,"пятку,",1
33012,кабинету,1
33013,богдановне,1
33014,спросить:,1
33015,доложи,2
33016,"начались,",3
33017,посланного.,1
33018,"погодя,",2
33019,поправить,9
33020,свечи.,2
33021,поправив,1
33022,таинство,2
33023,торжественнейшее,1
33024,продолжало,4
33025,совершаться.,1
33026,смягчения,1
33027,сердечного,1
33028,непостижимым,1
33029,"падало,",1
33030,возвышалось.,1
33031,спал.была,1
33032,мартовских,1
33033,зима,2
33034,высыпает,1
33035,отчаянною,1
33036,снега,2
33037,бураны.,1
33038,немца-доктора,1
33039,выслана,2
33040,подстава,1
33041,повороту,2
33042,"проселок,",1
33043,высланы,3
33044,"фонарями,",2
33045,ухабам,1
33046,зажорам.княжна,1
33047,книгу:,1
33048,"сморщенное,",1
33049,"знакомое,",1
33050,няни:,1
33051,прядку,1
33052,висящий,2
33053,мешочек,1
33054,"подбородком.няня-савишна,",1
33055,рассказанное,1
33056,покойница-княгиня,1
33057,кишиневе,1
33058,рожала,1
33059,крестьянскою,1
33060,"бабой-молдаванкой,",1
33061,бабушки.—,1
33062,дохтура,1
33063,порыв,3
33064,налег,1
33065,выставленных,1
33066,рам,1
33067,жаворонками,1
33068,выставлялось,1
33069,38по,1
33070,раме,1
33071,комнате),1
33072,отбив,1
33073,задвинутую,1
33074,"задвижку,",1
33075,затрепал,1
33076,штофною,1
33077,"гардиной,",1
33078,пахнув,1
33079,"холодом,",2
33080,задул,1
33081,вздрогнула;,1
33082,"чулок,",2
33083,откинутую,1
33084,раму.,5
33085,трепал,3
33086,концами,1
33087,"седыми,",2
33088,выбившимися,1
33089,прядями,2
33090,кто-то!,1
33091,"должно,",6
33092,дохтур...—,1
33093,по-русски.княжна,1
33094,накинула,2
33095,ехавшим.,1
33096,экипаж,6
33097,фонари,1
33098,лестницу.,3
33099,столбике,1
33100,перил,2
33101,свеча,1
33102,ветра.,4
33103,"филипп,",1
33104,"ниже,",2
33105,площадке,1
33106,лестницы.,2
33107,"пониже,",3
33108,"поворотом,",1
33109,теплых,6
33110,сапогах.,2
33111,"знакомый,",6
33112,почивать,1
33113,"легли,",1
33114,дворецкого,1
33115,"демьяна,",1
33116,внизу.потом,1
33117,"демьян,",1
33118,невидному,1
33119,"необыкновенно»,",1
33120,"площадке,",1
33121,шубе,4
33122,обсыпанным,1
33123,"измененным,",1
33124,"странно-смягченным,",1
33125,тревожным,2
33126,лестницу,3
33127,"получил,",1
33128,съехался,2
33129,"станции),",1
33130,судьба!,1
33131,маша,1
33132,милая!,1
33133,скинув,2
33134,княгини.39ix.маленькая,1
33135,"подушках,",1
33136,чепчике.,2
33137,(страдания,1
33138,ее.),1
33139,вились,1
33140,"воспаленных,",1
33141,щек;,1
33142,ротик,1
33143,"губкой,",2
33144,покрытою,2
33145,"волосиками,",1
33146,"раскрыт,",2
33147,улыбалась.,2
33148,изножья,1
33149,лежала.,1
33150,детски-испуганно,1
33151,зла,4
33152,страдаю?,1
33153,помогите,3
33154,"мне»,",2
33155,обошел,6
33156,душенька,1
33157,он:,4
33158,милостив...,1
33159,детски-укоризненно,1
33160,него.«я,1
33161,тоже!»,1
33162,приехал;,1
33163,поняла,19
33164,страданий,7
33165,муки,6
33166,посоветовала,1
33167,комнаты.акушер,1
33168,"заговорили,",4
33169,прислушивались.—,1
33170,"ami,1",1
33171,дожидаясь.,1
33172,просидел,4
33173,"жалкие,",1
33174,беспомощно-животные,1
33175,нельзя!,3
33176,секунд.,2
33177,"друг,40андрей",1
33178,"замолк,",4
33179,ребенка.«зачем,1
33180,принесли,8
33181,ребенка?,1
33182,ребенок?,3
33183,какой?..,1
33184,родился,3
33185,ребенок?»когда,1
33186,"крика,",4
33187,задушили,1
33188,"всхлипывая,",2
33189,плачут,2
33190,отворилась.,2
33191,засученными,4
33192,"сюртука,",2
33193,"челюстью,",2
33194,растерянно,3
33195,мимо.,3
33196,замялась,1
33197,бледность,1
33198,"щек,",3
33199,"прелестном,",1
33200,детском,3
33201,личике,1
33202,волосиками.«я,1
33203,дурного,11
33204,сделали?»,3
33205,"прелестное,",1
33206,"жалкое,",4
33207,мертвое,5
33208,хрюкнуло,1
33209,пискнуло,1
33210,"маленькое,",2
33211,красное,4
33212,трясущихся,1
33213,богдановны.через,1
33214,"старческими,",1
33215,жесткими,2
33216,"тисками,",1
33217,обхватил,2
33218,ребенок.через,1
33219,отпевали,1
33220,ступени,3
33221,гроба.,1
33222,гробу,4
33223,"«ах,",7
33224,оторвалось,2
33225,"вине,",2
33226,восковую,1
33227,"ручку,",4
33228,сказало:,2
33229,лицо.41еще,1
33230,крестили,1
33231,мамушка,1
33232,подбородком,3
33233,придерживала,1
33234,"пеленки,",1
33235,гусиным,1
33236,перышком,1
33237,священник,8
33238,мазал,1
33239,сморщенные,2
33240,ладо̀нки,1
33241,ступеньки,3
33242,мальчика.крестный,1
33243,"отец-дед,",1
33244,"уронить,",1
33245,"вздрагивая,",3
33246,младенца,1
33247,жестяной,1
33248,помятой,1
33249,купели,1
33250,крестной,1
33251,замирая,5
33252,утопили,1
33253,вынесла,3
33254,"нянюшка,",1
33255,нянюшка,1
33256,сообщила,6
33257,брошенный,2
33258,купель,1
33259,вощечок,1
33260,волосками,1
33261,"потонул,",1
33262,поплыл,1
33263,купели.x.участие,1
33264,замято,1
33265,стараниями,1
33266,определен,4
33267,московскому,1
33268,генерал-губернатору.,1
33269,"семейством,",3
33270,должности,6
33271,лето,6
33272,"выздоровел,",1
33273,сдружился,1
33274,выздоровления.,2
33275,любившей,1
33276,старушка,7
33277,"ивановна,",6
33278,полюбившая,1
33279,"феде,",1
33280,"душою,",1
33281,говаривала,1
33282,"нынешнего,",1
33283,развращенного,1
33284,колет.,1
33285,безухова?,2
33286,федя,4
33287,благородству,1
33288,говорит.,8
33289,шалости,1
33290,"квартальным,",1
33291,"шутили,",1
33292,делали?,1
33293,плечах,1
33294,перенес!,2
33295,"возвратили,",1
33296,возвратить?,1
33297,храбрецов,1
33298,сынов,2
33299,отечества,6
33300,прямо!,1
33301,42интриги?,1
33302,ревнив?,1
33303,"почувствовать,",2
33304,продолжалось.,1
33305,"драться,",8
33306,должен.,2
33307,низость!,1
33308,гадость!,2
33309,федю,1
33310,понимают.,3
33311,душа!сам,1
33312,выздоровления,4
33313,пускай.,1
33314,люблю;,2
33315,"отдам,",2
33316,передавлю,1
33317,"обожаемая,",1
33318,неоцененная,1
33319,два-три,2
33320,"числе,",2
33321,обращаю,1
33322,полезны,4
33323,вредны.,1
33324,"вредны,",2
33325,женщины.,9
33326,"любящих,",1
33327,"благородных,",2
33328,возвышенных;,1
33329,продажных,1
33330,тварей,1
33331,графинь,1
33332,"кухарок,",1
33333,небесной,1
33334,"чистоты,",2
33335,ищу,1
33336,женщине.,3
33337,эти!...,1
33338,презрительный,2
33339,жест.,1
33340,веришь,5
33341,"жизнью,",13
33342,небесное,2
33343,"возродило,",1
33344,очистило,1
33345,возвысило,1
33346,друга.—————осенью,1
33347,семейство,9
33348,вернулось,2
33349,проведенное,1
33350,семейства.,2
33351,привлек,3
33352,родителей,2
33353,"двадцатилетняя,",1
33354,девица;,1
33355,шестнадцатилетняя,1
33356,прелести,6
33357,цветка;,1
33358,"полу-барышня,",1
33359,"полу-девочка,",1
33360,"смешная,",1
33361,девически,1
33362,обворожительная.43в,1
33363,завелась,1
33364,"любовности,",1
33365,милые,1
33366,девушки.,2
33367,приезжавший,3
33368,"ростовых,",36
33369,"восприимчивые,",1
33370,(вероятно,3
33371,счастию),1
33372,"улыбающиеся,",1
33373,девические,1
33374,оживленную,2
33375,"беготню,",1
33376,"непоследовательный,",1
33377,"готовый,",1
33378,исполненный,1
33379,лепет,1
33380,женской,5
33381,непоследовательные,1
33382,"пенья,",1
33383,готовности,7
33384,ростовых.в,1
33385,введенных,2
33386,поссорилась,2
33387,братом.,1
33388,настаивала,4
33389,неприятен,4
33390,неестествен.—,1
33391,нѐчего,2
33392,упорным,3
33393,своевольством,1
33394,чувств.,1
33395,"кутила,",1
33396,"назначено,",1
33397,денисова...—,1
33398,"ничто,",4
33399,сердце!—,1
33400,влюбился,1
33401,соню?—,1
33402,глупости...—,1
33403,увидишь.предсказание,1
33404,сбывалось.,1
33405,дамского,1
33406,"ездит,",3
33407,(хотя,6
33408,это),3
33409,посмела,1
33410,долохова.долохов,1
33411,"спектакля,",1
33412,adolescentes1,1
33413,«подростающих»44y,1
33414,"иогеля,",2
33415,ростовы.,3
33416,оказывал,6
33417,преимущественное,1
33418,краски,1
33419,"краснели,",1
33420,взгляд.видно,1
33421,неотразимым,1
33422,"влиянием,",3
33423,производимым,1
33424,"черненькою,",1
33425,"грациозною,",1
33426,любящею,1
33427,девочкой.ростов,1
33428,соней;,2
33429,определял,2
33430,«они,3
33431,"кого-то»,",1
33432,реже,6
33433,дома.с,2
33434,осени,3
33435,бо̀льшим,1
33436,"жаром,",4
33437,году.,3
33438,набор,3
33439,ратников,1
33440,тысячи.,2
33441,повсюду,1
33442,проклинали,2
33443,анафемой,1
33444,"бонапартия,",1
33445,толков,2
33446,предстоящей,9
33447,заключался,3
33448,соглашался,9
33449,отпуска,4
33450,праздников.,2
33451,предстоящий,1
33452,"веселиться,",3
33453,поощрял,1
33454,этому.,5
33455,балах.xi.на,1
33456,"рождества,",1
33457,официально-прощальный,1
33458,крещенья.,1
33459,обедало,1
33460,"двадцать,",2
33461,денисов.никогда,1
33462,любовный,1
33463,влюбленности,1
33464,«лови,1
33465,заставляй,2
33466,"любить,",10
33467,влюбляйся,1
33468,сам!,1
33469,остальное,12
33470,вздор.,3
33471,"заняты»,",1
33472,"атмосфера.45николай,",1
33473,замучив,1
33474,напряженность,1
33475,любовной,1
33476,атмосферы,1
33477,"замешательство,",2
33478,царствующее,1
33479,взволнованы,1
33480,чуткостью,2
33481,нежен,1
33482,"осторожен,",1
33483,обоими.,1
33484,праздников,2
33485,иогеля,2
33486,(танцовального,1
33487,"учителя),",1
33488,праздникам,2
33489,учеников,1
33490,учениц.—,1
33491,поедешь,1
33492,иогелю?,1
33493,"поезжай,",5
33494,дмитрич,3
33495,денисов),1
33496,едет.—,1
33497,графини!,1
33498,шутливо,4
33499,поставивший,1
33500,рыцаря,2
33501,châle1,1
33502,успею!,1
33503,"архаровым,",1
33504,ты?...,1
33505,спрашивать.—,1
33506,клубном,1
33507,николая.«что-нибудь,1
33508,утвердился,1
33509,предположении,3
33510,уехал.,6
33511,"искала,",2
33512,выбежав,2
33513,"верить,",8
33514,торжествующе,1
33515,соне.как,1
33516,приличная,1
33517,бесприданной,2
33518,сироты-сони.,1
33519,[танец,2
33520,шалью]46графини,1
33521,озлобление,3
33522,приготавливался,2
33523,сказать:,5
33524,предложение»;,1
33525,этого...—,2
33526,представить!,2
33527,"отказала,",3
33528,отказала!,2
33529,немного.«да,1
33530,соня!»,1
33531,"мама,",32
33532,"переменит,",1
33533,ее!,3
33534,сердись;,1
33535,женишься.,1
33536,женишься.—,1
33537,николай;,2
33538,пришлю,2
33539,убежала.через,1
33540,растерянная,1
33541,виноватая.,1
33542,любви.—,3
33543,смелее,1
33544,"блестящей,",2
33545,выгодной,1
33546,партии;,1
33547,"прекрасный,",3
33548,благородный,3
33549,друг...соня,1
33550,"отказалась,",1
33551,поспешно.—,1
33552,отказываетесь,1
33553,мне...соня,1
33554,"умоляющим,",1
33555,"nicolas,",26
33556,suffisance1,1
33557,откажетесь,1
33558,[самонадеянность]47то,1
33559,правду.,2
33560,всех...—,1
33561,"довольно,",3
33562,влюблялся,1
33563,"влюбляться,",1
33564,"доверия,",2
33565,молод.,1
33566,надо.—,3
33567,"сто̀ю,",1
33568,руку.xii.у,1
33569,"матушки,",1
33570,"adolescentes,1",1
33571,выделывающих,1
33572,выученные,1
33573,па̀;,1
33574,adolescentes,1
33575,"adolescents,2",1
33576,танцовавшие,2
33577,упаду;,1
33578,взрослые,4
33579,приезжавшие,3
33580,мыслию,2
33581,снизойти,2
33582,лучшее,14
33583,веселье.,1
33584,брака.,1
33585,хорошенькие,5
33586,горчаковы,1
33587,балы.,1
33588,особенного,8
33589,хозяина,8
33590,хозяйки:,1
33591,"летающий,",1
33592,правилам,11
